,transaction_date,owner,ticker,asset_type,type,amount,senator,lower_amt,mid_amt,upper_amt,5_day_pct_change,15_day_pct_change
1735,2018-12-07,Spouse,CMCSA,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001.0,-8000.5,-15000.0,-0.028601959678782835,-0.08475314408008958
1736,2018-12-07,Spouse,CSCO,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001.0,-8000.5,-15000.0,-0.013350304461622145,-0.06696801514855795
1737,2018-12-07,Spouse,CVS,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001.0,-8000.5,-15000.0,-0.029828695145395524,-0.11567016827221016
1738,2018-12-07,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",William Cassidy,1001.0,8000.5,15000.0,-0.01786478282104791,-0.06380207469170568
1739,2018-12-07,Spouse,AMGN,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001.0,-8000.5,-15000.0,0.0032908129677831004,0.016872178953516243
1740,2019-07-18,Joint,MALOX,Other Securities,Purchase,"$1,001 - $15,000",Daniel S Sullivan,1001.0,8000.5,15000.0,-0.0031545863257309817,-0.011040998455937309
1741,2019-07-17,Self,GTCSX,Other Securities,Purchase,"$1,001 - $15,000",Daniel S Sullivan,1001.0,8000.5,15000.0,0.027026990499554676,-0.02619556936328389
1742,2019-07-17,Spouse,TSCIX,Other Securities,Purchase,"$1,001 - $15,000",Daniel S Sullivan,1001.0,8000.5,15000.0,0.01626017449554106,-0.058161301314023084
1743,2019-07-17,Self,VPMAX,Other Securities,Sale,"$1,001 - $15,000",Daniel S Sullivan,-1001.0,-8000.5,-15000.0,0.02506323300867101,-0.0280244721675443
1744,2019-07-17,Joint,IWF,Other Securities,Sale,"$15,001 - $50,000",Daniel S Sullivan,-15001.0,-32500.5,-50000.0,0.011305408640633207,-0.032186423585239834
1745,2019-06-28,Self,MPLX,Stock,Sale,"$1,001 - $15,000",Patrick J Toomey,-1001.0,-8000.5,-15000.0,0.0024852833432178743,-0.0201925677693626
1746,2019-07-31,Joint,REVB,Stock,Sale,"$15,001 - $50,000",Patrick J Toomey,-15001.0,-32500.5,-50000.0,error: unknown exception,error: unknown exception
1750,2019-07-18,Spouse,CEF,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,1001.0,8000.5,15000.0,-0.010893287379668744,0.04212054498364556
1751,2019-07-18,Spouse,ABB,Stock,Sale,"$1,001 - $15,000",Thomas R Carper,-1001.0,-8000.5,-15000.0,-0.012786381342860824,-0.03303155588581699
1752,2019-07-16,Spouse,SMG,Stock,Sale,"$1,001 - $15,000",Thomas R Carper,-1001.0,-8000.5,-15000.0,0.0022209879069586148,0.0547560440845441
1753,2019-07-16,Spouse,CAG,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,1001.0,8000.5,15000.0,0.03766895326540043,-0.010540662455637397
1757,2019-07-25,Joint,T,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.009168991900949908,0.015675900144304658
1758,2019-07-25,Joint,KO,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.019596664235133416,0.01507444995707661
1759,2019-07-25,Joint,GE,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.03355721306987123,-0.23202302999570187
1760,2019-07-25,Joint,PYPL,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.037526056217475914,-0.08834264728717439
1761,2019-07-25,Joint,JCI,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.021643878843215506,0.010214067801021052
1762,2019-08-02,Joint,SUN,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.05939079051964499,-0.05232760133731723
1763,2019-08-02,Joint,KR,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001.0,32500.5,50000.0,0.04856125544962864,0.054532311082646244
1764,2019-08-02,Joint,GPK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.08441123312553964,-0.10415254517499628
1765,2019-08-02,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.06376072181535362,-0.121725014374766
1766,2019-08-02,Joint,GPK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.08441123312553964,-0.10415254517499628
1767,2019-08-01,Joint,GPK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.036301467166467434,-0.08219185432783187
1768,2019-08-01,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.07295452464710582,-0.08999997919256036
1769,2019-08-01,Joint,ENTG,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.008500522797252342,0.019126425698353103
1770,2019-08-01,Joint,HBI,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.003986690563897255,-0.04900591863317658
