,transaction_date,owner,ticker,asset_type,type,amount,senator,lower_amt,mid_amt,upper_amt,5_day_pct_change,15_day_pct_change,30_day_pct_change
1021,2020-03-11,Self,ICE,Stock,Sale,"$5,000,001 - $25,000,000",Kelly Loeffler,-5000001,-15000000.5,-25000000,-0.18406200124706112,-0.07659763616133997,0.030401136799171675
1022,2020-02-18,Self,ICE,Stock,Purchase,"$5,000,001 - $25,000,000",Kelly Loeffler,5000001,15000000.5,25000000,-0.04397081325553298,-0.05873181585007935,-0.15756236782490196
1023,2020-02-13,Self,WM,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-15001,-32500.5,-50000,0.002656306730355607,-0.05286088572223084,-0.22938307978740283
1024,2020-02-13,Self,DLR,Stock,Purchase,"$15,001 - $50,000",Sheldon Whitehouse,15001,32500.5,50000,0.09167796351616835,0.013514655230446466,0.05821713790226306
1025,2020-03-26,Spouse,MSFT,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,-0.005444856884844804,0.14406508924878175,0.18301189284334088
1026,2020-03-24,Spouse,MSFT,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,0.06316570491867181,0.15868945585403574,0.23055142775569257
1027,2020-03-24,Spouse,DIS,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,-0.015491278331765907,0.05350590963148828,0.028128765079270045
1028,2020-03-26,Spouse,XOM,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,0.0407007556142779,0.11334371086848044,0.18959296419854987
1029,2020-03-26,Spouse,CVX,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,-0.0034040074185411155,0.14126735114744407,0.24993476904381381
1030,2020-03-26,Spouse,BA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,-0.31725286868187474,-0.14705069289944453,-0.2609249505071825
1031,2020-03-24,Spouse,WMT,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,error: unknown exception,error: unknown exception,error: unknown exception
1032,2020-03-24,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,0.030014565642264564,0.1520981610171245,0.21771716319225207
1034,2020-03-20,Spouse,V,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,0.10032007905083865,0.15092286884213785,0.19968668671197917
1035,2020-03-09,Spouse,WMT,Stock,Sale,"$1,001 - $15,000",Pat Roberts,-1001,-8000.5,-15000,error: unknown exception,error: unknown exception,error: unknown exception
1036,2020-03-06,Spouse,NFLX,Stock,Purchase,"$100,001 - $250,000",Pat Roberts,100001,175000.5,250000,-0.08854382014702729,-0.03211644866604595,0.18570612458188965
1037,2020-03-02,Spouse,NVDA,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-15001,-32500.5,-50000,-0.11210791348222283,-0.23058276220099475,0.027204042196839383
1038,2020-03-02,Spouse,NFLX,Stock,Sale,"$50,001 - $100,000",Pat Roberts,-50001,-75000.5,-100000,-0.09069675545396111,-0.05453352432748802,0.08529064700471223
1039,2020-03-20,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,0.08070150584008595,0.1919823042063164,0.27883441782441865
1040,2020-03-06,Spouse,NFLX,Stock,Purchase,"$100,001 - $250,000",Pat Roberts,100001,175000.5,250000,-0.08854382014702729,-0.03211644866604595,0.18570612458188965
1041,2020-03-06,Spouse,NVDA,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,50001,75000.5,100000,-0.09472271969596406,-0.05003017760692955,0.07897300596983801
1042,2020-03-06,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,-0.038265825579311574,-0.14285704339249372,-0.04186416584178593
1043,2020-03-02,Spouse,AAPL,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-15001,-32500.5,-50000,-0.10923311272714915,-0.24912149171721792,-0.03935611424772794
1044,2020-03-02,Spouse,NFLX,Stock,Sale,"$100,001 - $250,000",Pat Roberts,-100001,-175000.5,-250000,-0.09069675545396111,-0.05453352432748802,0.08529064700471223
1045,2020-03-09,Spouse,WMT,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,error: unknown exception,error: unknown exception,error: unknown exception
1046,2020-03-09,Spouse,TROW,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.04943471866989823,-0.0369618834326014,-0.03676707201073681
1047,2020-03-09,Spouse,PG,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.06513866537402477,-0.00913320070763171,0.031190744566153044
1048,2020-03-09,Spouse,MSFT,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.10091607952717502,0.06380303029220143,0.1141948065990235
1049,2020-03-09,Spouse,MDT,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.1620130187981649,0.0024470381712723187,0.06299674580508943
1050,2020-03-09,Spouse,EMR,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.06751388359861883,-0.07406671881804545,0.008141337887583795
1051,2020-03-09,Spouse,BLK,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.14732347353037964,0.08672831953252018,0.13212091972077475
1052,2020-03-09,Spouse,AAPL,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.0900178137011381,-0.0426796621968603,0.008265138592688532
1053,2020-03-09,Spouse,AMGN,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.04884814220472422,0.050965405217454095,0.16323034291026925
1054,2020-03-09,Spouse,T,Stock,Sale,"$1,001 - $15,000",William Cassidy,-1001,-8000.5,-15000,-0.08302111621850236,-0.12856736747989198,-0.1237978539681833
1055,2020-03-09,Spouse,VFC,Stock,Purchase,"$1,001 - $15,000",William Cassidy,1001,8000.5,15000,-0.10690818343446935,-0.04231444506944523,-0.14505528451056607
1056,2020-03-09,Spouse,PSX,Stock,Purchase,"$1,001 - $15,000",William Cassidy,1001,8000.5,15000,-0.22258008652237554,-0.12771779641104808,-0.08519892852642645
1057,2020-03-09,Spouse,MMM,Stock,Purchase,"$1,001 - $15,000",William Cassidy,1001,8000.5,15000,-0.091281403041171,-0.04387073172325039,-0.016867981473376144
1058,2020-03-09,Spouse,JNJ,Stock,Purchase,"$1,001 - $15,000",William Cassidy,1001,8000.5,15000,-0.06823516143783076,-0.025139300042257447,0.09703894237211985
1059,2020-03-09,Spouse,DOW,Stock,Purchase,"$1,001 - $15,000",William Cassidy,1001,8000.5,15000,-0.2793973333915675,-0.06157882682331671,0.011464076865504916
1064,2020-03-10,Self,VWO,Stock,Sale,"$15,001 - $50,000","Jerry Moran,",-15001,-32500.5,-50000,-0.13977938621289077,-0.13791631975838484,-0.09346305516259164
1065,2020-03-10,Joint,HAL,Stock,Purchase,"$1,001 - $15,000","Jerry Moran,",1001,8000.5,15000,-0.2909929740587642,-0.20900685923378143,-0.049653481885234586
1066,2020-03-10,Self,XOM,Stock,Purchase,"$1,001 - $15,000","Jerry Moran,",1001,8000.5,15000,-0.1520386485216469,-0.12531675186196817,-0.029486234022782092
1067,2020-03-10,Self,BRK-B,Stock,Purchase,"$1,001 - $15,000","Jerry Moran,",1001,8000.5,15000,-0.07463123337879182,-0.09816008639998772,-0.07966257700803839
1068,2020-02-20,Self,BAM,Stock,Sale,"$50,001 - $100,000",James M Inhofe,-50001,-75000.5,-100000,-0.10685722734986844,-0.3171466163900997,-0.362082783518263
1071,2020-01-14,Spouse,CMCSA,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,0.030632220816190735,-0.03128395225190162,-0.10819028567645599
1072,2020-01-14,Spouse,CSCO,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,0.026783863537952476,0.01381039249739379,-0.1621678552492253
1073,2020-01-14,Spouse,GS,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,0.005658249083181471,-0.005536055379891064,-0.162704573473051
1074,2020-01-14,Spouse,CVX,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,-0.02923476099230493,-0.05176272061258327,-0.18116778919207768
1075,2020-01-14,Spouse,UL,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,0.024498448708775,0.06941235293751494,-0.020665139236439218
1076,2020-01-08,Spouse,PRU,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,0.003511002410359806,-0.009362673094292817,-0.0033170405987288506
1079,2020-01-31,Joint,TJX,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.03963413724652221,0.04976669894079049,-0.30213891189293896
1080,2020-01-31,Joint,ROST,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.046706433406899485,0.08405381729737237,-0.33899927297889426
1081,2020-01-31,Joint,AZO,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.0008980238168423715,-0.0012476335001306133,-0.19530979571717755
1082,2020-01-30,Joint,AZO,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,-0.02233604377266462,-0.017071846995196076,-0.06796552354424311
1083,2020-01-29,Joint,ROST,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.03911787433026329,0.08348648712724559,-0.20057757989189917
1084,2020-01-29,Joint,KEYS,Stock,Sale,"$100,001 - $250,000",Kelly Loeffler,-100001,-175000.5,-250000,-0.0027179816671223356,0.02927028345360968,-0.13903410560944712
1085,2020-01-29,Joint,CMCSA,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.029316644220980254,0.06232681283828147,-0.193444240622657
1086,2020-01-28,Joint,REZI,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,-0.09017859340018193,-0.09553568866483976,-0.30714282490769157
1087,2020-01-27,Joint,REZI,Stock,Sale,"$100,001 - $250,000",Kelly Loeffler,-100001,-175000.5,-250000,-0.06654337649370787,-0.07763402738261696,-0.21441772275964094
1088,2020-01-21,Spouse,DFS,Stock,Purchase,"$250,001 - $500,000",Kelly Loeffler,250001,375000.5,500000,-0.1009798565443581,-0.09476584758094417,-0.19835427076464485
1092,2020-01-24,Joint,REZI,Stock,Sale,"$50,001 - $100,000",Kelly Loeffler,-50001,-75000.5,-100000,-0.10544813683634052,-0.13444637237126758,-0.23901583828432485
1093,2020-02-14,Joint,ORCL,Stock,Purchase,"$100,001 - $250,000",Kelly Loeffler,100001,175000.5,250000,-0.05083830720815309,-0.1705427242319378,-0.09212189784530837
